from_cui	to_cui	level
C0245514	C2973446	Moderate
C0012201	C0020934	Moderate
C0037707	C4278675	Major
C0074769	C0085170	Major
C0064585	C4329353	Moderate
C0013089	C0071304	Unknown
C0074554	C4317559	Moderate
C0010961	C4049146	Moderate
C1176020	C4086264	Moderate
C0008929	C0770393	Moderate
C0005308	C1565750	Minor
C0065374	C2353951	Moderate
C0011892	C0527189	Moderate
C0013085	C0025386	Moderate
C0966107	C4079830	Major
C0018033	C0042670	Moderate
C0014582	C0060657	Moderate
C0008273	C0209210	Major
C0020223	C2353951	Moderate
C0074554	C1135135	Unknown
C0020268	C1257385	Moderate
C0082607	C0533545	Unknown
C4682397	C4683810	Moderate
C0081408	C0298067	Moderate
C0032952	C0055711	Unknown
C1721300	C3848580	Moderate
C0031007	C0074493	Moderate
C0001927	C0060389	Unknown
C0025598	C0025942	Unknown
C0022635	C2744440	Moderate
C0059865	C4078312	Major
C0055856	C0292818	Moderate
C0074554	C1101838	Moderate
C0025605	C3852684	Major
C0021734	C0049065	Moderate
C0123677	C2350948	Moderate
C0014912	C0022487	Moderate
C0023992	C1567130	Moderate
C3467876	C3491971	Moderate
C0064113	C2974289	Major
C0010961	C2931926	Minor
C0008947	C0032950	Unknown
C0001367	C0034283	Unknown
C0531104	C3896940	Major
C0033215	C0051809	Major
C0030883	C0052429	Moderate
C0068485	C4325235	Moderate
C0525227	C2370726	Moderate
C0009011	C0026549	Major
C0298067	C3661315	Major
C0913506	C3851350	Minor
C0074554	C0526371	Moderate
C0092777	C4733494	Moderate
C0008783	C1176306	Moderate
C0004234	C0030576	Major
C0040610	C1506770	Moderate
C0038149	C1269691	Moderate
C0040899	C3179549	Moderate
C0008838	C1176306	Unknown
C0114771	C4329353	Major
C1533699	C3848580	Moderate
C0123091	C0537147	Unknown
C0009011	C0013089	Unknown
C0018312	C0079594	Moderate
C0004259	C0033493	Moderate
C0024480	C0028005	Moderate
C0078794	C2983838	Moderate
C0015827	C0022154	Major
C0054201	C5398046	Major
C0030049	C0061323	Unknown
C1619629	C1998098	Moderate
C0042105	C0050940	Unknown
C0069717	C1122087	Major
C0002333	C4524315	Moderate
C0025677	C1506770	Moderate
C0070122	C0072980	Unknown
C1620287	C3886623	Major
C0026156	C4078701	Moderate
C0032613	C0039865	Moderate
C0039245	C3192263	Moderate
C0032483	C0527316	Moderate
C0004482	C0249458	Unknown
C0012582	C0289313	Unknown
C0053882	C0085208	Unknown
C0000477	C0065879	Moderate
C0038689	C0040372	Moderate
C0007248	C4329353	Moderate
C0020789	C0040805	Moderate
C0074414	C0120726	Major
C0010592	C3490329	Moderate
C0040989	C1313386	Moderate
C0025644	C3495673	Moderate
C0935989	C4287804	Major
C2935436	C4683810	Major
C0009079	C4682397	Major
C0000618	C1311070	Moderate
C0001927	C0005320	Moderate
C0009010	C4086264	Moderate
C0008273	C0036442	Minor
C1998098	C4519273	Major
C0298130	C0525227	Unknown
C1527027	C2343589	Moderate
C1721377	C4080053	Moderate
C0039871	C1608841	Moderate
C0072857	C3491971	Moderate
C4287815	C4482908	Moderate
C0015620	C0040341	Unknown
C0717670	C1718383	Major
C0008992	C1456408	Minor
C0004259	C0023660	Unknown
C0298067	C0937846	Moderate
C0052585	C0073992	Moderate
C0009079	C0220578	Major
C0025853	C0935989	Unknown
C0074393	C0754820	Unknown
C0033487	C0063041	Unknown
C0002555	C0039286	Moderate
C0002555	C4305843	Major
C1099456	C1516119	Major
C0040864	C0126177	Unknown
C0006388	C1999375	Minor
C0061863	C0526371	Moderate
C0015837	C0254119	Moderate
C0004482	C0034414	Unknown
C0032950	C1145759	Moderate
C0036516	C0057605	Moderate
C0012772	C0024027	Moderate
C0025605	C1699926	Major
C0069717	C4287804	Major
C0077163	C4548848	Moderate
C0014563	C0030095	Moderate
C0009262	C0053230	Moderate
C0014806	C0031990	Unknown
C0081876	C1122962	Moderate
C2975435	C3272698	Major
C0286738	C0913506	Minor
C0040372	C0082607	Minor
C0005578	C0033405	Moderate
C0013085	C0014582	Moderate
C0017861	C0072857	Moderate
C0006463	C0015620	Unknown
C0008281	C0070592	Moderate
C0027235	C0031184	Minor
C0073992	C4086264	Moderate
C0030899	C0033148	Unknown
C0034665	C0074281	Unknown
C0907410	C3852841	Major
C0008929	C0010976	Moderate
C0028156	C0254119	Moderate
C0021246	C0062941	Major
C1608841	C3852841	Moderate
C1455147	C4330903	Moderate
C0216784	C0907850	Unknown
C0020402	C0252643	Unknown
C0014582	C0766326	Major
C0070122	C2974521	Moderate
C3490348	C5139717	Moderate
C0010961	C1565750	Moderate
C0076080	C0935989	Moderate
C0000608	C0012265	Unknown
C0018033	C2001856	Moderate
C0064113	C4726929	Major
C0907410	C4278675	Major
C0018546	C0033567	Unknown
C0016365	C0025153	Moderate
C0001927	C0050559	Unknown
C0034417	C5139749	Moderate
C0005308	C0907410	Moderate
C3177235	C4287815	Major
C0033405	C0076107	Moderate
C0025678	C0032483	Moderate
C0025887	C2343589	Moderate
C0140575	C3501358	Major
C0010620	C1565316	Moderate
C0025598	C0040165	Moderate
C0025853	C0057626	Moderate
C3192263	C4045494	Major
C0039542	C0085170	Moderate
C0074554	C0292818	Major
C0039542	C0936148	Moderate
C0030863	C0066535	Moderate
C0026078	C4278675	Moderate
C0039623	C3886623	Moderate
C0034417	C0052416	Major
C0007546	C0085208	Unknown
C0001047	C0029997	Unknown
C0055856	C0907402	Moderate
C3490329	C4079854	Moderate
C0025853	C0074722	Unknown
C0053091	C0144576	Unknown
C0032950	C0055573	Moderate
C0020268	C0376637	Moderate
C0006711	C0030817	Moderate
C0000992	C0121902	Moderate
C0033229	C0042845	Unknown
C1122087	C3661315	Major
C0014921	C0040864	Moderate
C0068334	C2744440	Moderate
C0040989	C0209210	Major
C0025677	C0027996	Moderate
C0012522	C0025242	Moderate
C0008280	C0886584	Moderate
C0026234	C4726929	Major
C0028420	C1722260	Moderate
C0033497	C0291216	Moderate
C0013092	C0031849	Moderate
C2742503	C3855916	Moderate
C0024027	C0538927	Unknown
C0016410	C0017642	Unknown
C0000618	C0014310	Minor
C0057605	C0070563	Moderate
C0527316	C1121849	Moderate
C0002600	C0040372	Moderate
C0010592	C0754280	Moderate
C0292818	C2931926	Major
C0020934	C3661274	Moderate
C0061323	C0257343	Unknown
C0002598	C0281581	Moderate
C1176308	C2973446	Moderate
C0038432	C2744440	Moderate
C0033493	C4058811	Major
C0033429	C3273719	Moderate
C0149368	C1882138	Minor
C0040864	C1738934	Moderate
C0006938	C2698385	Moderate
C0039286	C0090306	Unknown
C0031990	C0065180	Unknown
C0065879	C1700730	Moderate
C0008286	C1176020	Moderate
C0025152	C3848580	Moderate
C0006837	C0055147	Moderate
C0001367	C0072980	Major
C0005740	C0525079	Moderate
C0013089	C0053799	Unknown
C0027235	C0033405	Minor
C0033508	C2935023	Moderate
C0055011	C0296800	Unknown
C0034282	C0085228	Moderate
C0298130	C0671970	Unknown
C0012145	C0795635	Moderate
C0025678	C1455147	Moderate
C0042874	C0144576	Moderate
C0072980	C4045494	Moderate
C0043832	C3852671	Major
C0002555	C1831808	Moderate
C0006051	C3854019	Major
C0023660	C4329353	Minor
C0061851	C0076080	Unknown
C0297635	C0378466	Unknown
C0010711	C0076080	Moderate
C0064079	C0537147	Unknown
C0065864	C1176315	Major
C0023660	C0033405	Unknown
C3657824	C4080091	Major
C0039955	C0040165	Unknown
C0015620	C0023660	Unknown
C1121849	C1567130	Major
C0008783	C0759933	Moderate
C0010927	C0042679	Unknown
C0028741	C0042679	Unknown
C0064113	C2931926	Major
C0009214	C0076891	Moderate
C0005320	C0022026	Moderate
C0052759	C0596004	Moderate
C0766326	C1337242	Moderate
C0011816	C0070709	Moderate
C0043031	C0527189	Unknown
C0001367	C0007546	Unknown
C0210657	C0301508	Major
C1121991	C3661282	Moderate
C0026259	C0754011	Moderate
C0040610	C4086264	Moderate
C0724511	C4505511	Major
C0021186	C0022005	Moderate
C1176309	C1456409	Minor
C0064113	C2987417	Major
C0025242	C0070166	Unknown
C0020264	C0165921	Moderate
C0014806	C0015620	Moderate
C0038418	C2742502	Major
C0071097	C3852938	Moderate
C0282386	C4682397	Major
C0061851	C0772501	Moderate
C1122087	C1172734	Major
C0006246	C0886584	Moderate
C0010192	C0058218	Moderate
C0019134	C0061323	Moderate
C0011777	C0071568	Moderate
C0000992	C0077275	Moderate
C0066677	C0296800	Unknown
C0012228	C1455147	Major
C0216231	C4049141	Moderate
C0717758	C1832049	Major
C0005640	C0073631	Major
C0039663	C4080091	Moderate
C0043031	C0070166	Major
C0033229	C1313386	Moderate
C0069739	C0081876	Unknown
C0052796	C0055578	Moderate
C0019453	C0770578	Moderate
C2353893	C3489764	Major
C0538927	C0913246	Unknown
C0913246	C0965129	Unknown
C0057558	C1700695	Major
C0022625	C0026259	Moderate
C0010980	C0073992	Unknown
C1506770	C3712232	Major
C0009214	C4519258	Moderate
C0048470	C0600296	Moderate
C0298130	C0299792	Unknown
C0041165	C0771269	Moderate
C2698692	C3885614	Major
C0006938	C0209210	Unknown
C0070563	C2001271	Moderate
C0023566	C1506770	Moderate
C0020336	C1506770	Major
C0014963	C0022005	Moderate
C4018471	C4058811	Moderate
C0064113	C2713008	Major
C0002598	C0903898	Moderate
C0061323	C0903898	Moderate
C0022625	C0085228	Moderate
C0015021	C1122087	Moderate
C1135135	C4519269	Moderate
C0005640	C1135135	Moderate
C0061863	C0907410	Moderate
C0002475	C0935916	Unknown
C0008280	C0068333	Moderate
C0028902	C1337242	Unknown
C0039623	C2986922	Major
C1739768	C3852938	Moderate
C0032952	C0123931	Unknown
C0042670	C0055856	Major
C0004259	C0038633	Unknown
C0016410	C1144149	Unknown
C0028356	C1269691	Moderate
C0002679	C0040845	Unknown
C0907402	C2607479	Moderate
C0001962	C0057626	Moderate
C0078569	C0525227	Unknown
C0039663	C0674428	Moderate
C0021246	C2973446	Moderate
C0022625	C1998098	Major
C0028027	C2827241	Major
C0002403	C0032825	Unknown
C2987417	C4733494	Moderate
C0014964	C0059985	Moderate
C0024477	C1700874	Minor
C0041031	C0076107	Moderate
C0247194	C0293359	Moderate
C0031923	C0360172	Moderate
C1831796	C2000145	Moderate
C0040374	C1119918	Moderate
C0002644	C0016293	Major
C0018513	C0795635	Minor
C0005632	C0393080	Moderate
C0220578	C3657824	Major
C0000992	C2587204	Moderate
C3886731	C4519269	Moderate
C0022939	C0042313	Moderate
C0016280	C0043031	Moderate
C0026156	C3896940	Moderate
C2935436	C4287804	Major
C0012203	C0020934	Minor
C0013092	C3179470	Moderate
C2974289	C3661315	Major
C0063817	C0073631	Major
C0033487	C2986924	Moderate
C0006938	C0066101	Moderate
C0038689	C0039629	Moderate
C0023992	C0041056	Moderate
C0015827	C2987417	Moderate
C0022026	C0025042	Major
C4018471	C4042960	Moderate
C0025942	C1455147	Moderate
C0001367	C0754659	Unknown
C0246689	C0378466	Moderate
C0055877	C0360172	Moderate
C0039512	C2347624	Moderate
C0022957	C4329353	Moderate
C0002600	C0071129	Moderate
C0008294	C0028978	Moderate
C0001962	C0054836	Moderate
C0002645	C0033567	Unknown
C0013085	C5235396	Major
C0012772	C1135132	Moderate
C0085272	C1699926	Major
C0002600	C0022026	Major
C0002600	C1506770	Moderate
C0025029	C0031495	Moderate
C1831828	C4726900	Major
C0074493	C0216278	Moderate
C0025605	C0039736	Moderate
C0209210	C2713632	Moderate
C0076891	C1269691	Moderate
C0030350	C0054015	Moderate
C0016860	C0218986	Moderate
C0066535	C0077524	Moderate
C0032952	C0040845	Unknown
C0059985	C0136123	Unknown
C0001927	C0724614	Moderate
C0025242	C0042313	Unknown
C0006938	C0020268	Moderate
C0014563	C0024027	Unknown
C0012091	C0029995	Moderate
C0006376	C0040864	Moderate
C0008286	C0537551	Moderate
C0038633	C0132326	Unknown
C0010583	C0051919	Moderate
C0009170	C4482908	Moderate
C1608841	C2346801	Moderate
C0525079	C0907349	Moderate
C0031495	C4278675	Moderate
C0020934	C0076275	Unknown
C0033567	C1620287	Moderate
C0281581	C4519740	Moderate
C0040845	C0060405	Unknown
C0008188	C0020823	Moderate
C0013089	C0285590	Moderate
C0032143	C0054094	Moderate
C3486388	C4682397	Moderate
C0028978	C0065180	Unknown
C0020268	C4278675	Major
C1257385	C1700874	Major
C0018242	C2698280	Moderate
C0066535	C0085149	Moderate
C0022957	C0965390	Moderate
C0031447	C2746078	Moderate
C0140575	C0935989	Major
C0054836	C3490329	Moderate
C0042313	C0085174	Unknown
C0065152	C0282386	Moderate
C0001367	C0023660	Unknown
C0008287	C0077524	Moderate
C0052796	C0296800	Unknown
C0019134	C0113293	Unknown
C0036079	C0165590	Major
C0034410	C1958126	Moderate
C0061323	C0078569	Unknown
C0022487	C0031990	Moderate
C0085170	C3192263	Major
C1174995	C2742503	Moderate
C0076836	C1872203	Major
C0020934	C4330903	Moderate
C0024977	C0030873	Moderate
C0040233	C0082646	Moderate
C0173083	C3496793	Moderate
C1619629	C2604635	Major
C0016860	C0057258	Moderate
C0034665	C3818721	Moderate
C0006246	C0031007	Moderate
C0032952	C0144576	Unknown
C0082607	C0971579	Unknown
C0030049	C0082646	Unknown
C0032535	C0063828	Major
C0038792	C0071751	Moderate
C0907402	C1176315	Moderate
C0052585	C0144576	Minor
C0249458	C1455147	Unknown
C0066101	C0520472	Moderate
C0012319	C0065767	Moderate
C0015846	C0039865	Moderate
C1176315	C4079830	Major
C0002499	C0379199	Moderate
C0022642	C0028902	Unknown
C0014704	C0014806	Major
C0013089	C0717360	Moderate
C0009011	C0123931	Unknown
C0008168	C0053882	Moderate
C3657824	C4329353	Major
C0008269	C0017628	Moderate
C0002679	C0286738	Unknown
C0001927	C0007299	Major
C0054234	C0054668	Moderate
C3192263	C4330903	Major
C0209211	C1456408	Moderate
C0074414	C4045494	Major
C0002600	C2713632	Moderate
C0025381	C0041090	Moderate
C0013090	C0380393	Unknown
C0538927	C1664205	Moderate
C0015837	C3848580	Moderate
C0060389	C0674428	Unknown
C3885145	C5828321	Moderate
C0038689	C0039542	Minor
C0038418	C0073999	Moderate
C0000378	C4278675	Moderate
C0001047	C0252643	Unknown
C0025746	C2350948	Major
C0168273	C0439963	Minor
C0064113	C4049146	Major
C0671970	C1718383	Major
C0030899	C0051809	Moderate
C0055147	C0965129	Unknown
C0032952	C3852684	Moderate
C0052759	C0075262	Moderate
C0025684	C0995188	Moderate
C0022005	C1120106	Major
C0028902	C0218986	Minor
C0024477	C0065374	Minor
C0016277	C0028368	Moderate
C0001655	C0038149	Moderate
C0076836	C1516119	Major
C0055147	C0754647	Unknown
C1831808	C2698692	Moderate
C0041098	C0213404	Moderate
C3886623	C4726677	Moderate
C0006246	C0009011	Moderate
C1722260	C4079208	Moderate
C0007343	C0014806	Moderate
C0000946	C0014479	Moderate
C0378482	C0937916	Unknown
C0015021	C0025872	Moderate
C0006674	C0031412	Moderate
C0036078	C1313386	Moderate
C1122962	C2987430	Moderate
C0025677	C0291772	Unknown
C0016360	C0246421	Unknown
C0001367	C0078839	Unknown
C0060926	C0085154	Unknown
C0008947	C0016860	Unknown
C3852684	C4743552	Major
C0025815	C0052585	Major
C0025605	C0962603	Moderate
C2000145	C5139749	Moderate
C0085217	C2935023	Moderate
C0060926	C0127615	Unknown
C0008280	C0014963	Moderate
C0040899	C0123677	Moderate
C0015046	C1718383	Major
C0012086	C0033567	Moderate
C0073999	C0795635	Moderate
C0006246	C0527316	Moderate
C0002371	C0020336	Moderate
C1882138	C3640939	Moderate
C0031507	C2698385	Moderate
C0027353	C0149368	Moderate
C0025815	C2713632	Moderate
C0043031	C0165921	Minor
C0012133	C0038425	Unknown
C0378466	C4305843	Moderate
C3273711	C4044947	Major
C0006405	C2350866	Moderate
C0071129	C4519273	Moderate
C0028156	C0053230	Moderate
C1456409	C1872109	Moderate
C0011276	C0024472	Moderate
C0025815	C0032613	Moderate
C0010980	C0068485	Moderate
C0538927	C1176309	Unknown
C0002645	C0020336	Unknown
C0043031	C0299792	Unknown
C0068485	C0935989	Moderate
C0033223	C0034131	Moderate
C0075262	C1516119	Moderate
C0042874	C4043954	Minor
C0029997	C0039736	Moderate
C0039736	C0245561	Moderate
C0006376	C0032950	Moderate
C1098510	C1739768	Major
C0022209	C0164613	Moderate
C0016360	C0024730	Unknown
C0008947	C0012265	Unknown
C0002640	C0029112	Moderate
C0014806	C0031862	Unknown
C0006863	C0068333	Moderate
C0007538	C0026549	Unknown
C0754011	C4278675	Major
C0014582	C0033743	Moderate
C0206461	C3541367	Moderate
C0092801	C1690432	Major
C0000946	C0032952	Moderate
C0666743	C0671970	Major
C0026196	C0072973	Unknown
C0034665	C0538927	Unknown
C2987417	C3273711	Moderate
C0012010	C0078257	Unknown
C0023992	C0076107	Unknown
C0000992	C0032952	Moderate
C0012125	C3661274	Moderate
C4078312	C4086895	Moderate
C0013092	C0013136	Moderate
C0072973	C4079805	Moderate
C0010592	C0287041	Moderate
C0008809	C0165603	Unknown
C0009010	C0033126	Moderate
C0032952	C2746078	Moderate
C0001962	C0907402	Moderate
C0031507	C4079805	Moderate
C1176309	C2699709	Moderate
C0016967	C0019134	Unknown
C0009014	C0073992	Unknown
C0012522	C4548848	Moderate
C0075262	C3886623	Moderate
C0012133	C0013090	Minor
C2983812	C3177235	Minor
C0016377	C1664205	Moderate
C0002645	C0008992	Unknown
C0014892	C0074722	Minor
C0025598	C0065162	Moderate
C0033405	C0965390	Moderate
C0008845	C0025853	Moderate
C0006837	C0020789	Moderate
C0042874	C1609931	Minor
C0010592	C0027996	Unknown
C0035608	C4325235	Major
C0245514	C1722267	Moderate
C0012228	C0038425	Moderate
C0081876	C0209738	Unknown
C0006462	C0070563	Moderate
C0039644	C0378482	Unknown
C0016375	C0527189	Moderate
C0663241	C3854019	Unknown
C0007537	C0013090	Unknown
C0007560	C0026933	Moderate
C0069739	C1721300	Moderate
C0011786	C0024778	Major
C0010592	C1609931	Moderate
C0039771	C0078569	Unknown
C0069805	C0913506	Moderate
C0040879	C0054668	Moderate
C0383429	C1269691	Moderate
C0001927	C0055856	Moderate
C0041030	C3853921	Moderate
C0004057	C0011786	Moderate
C0070563	C4550368	Moderate
C0018988	C0019134	Moderate
C0014479	C1958126	Moderate
C0010620	C0031507	Moderate
C2316217	C2828294	Moderate
C1690432	C2347624	Moderate
C0032950	C0051696	Moderate
C0074722	C1873633	Moderate
C0032950	C0040864	Unknown
C0000992	C0025815	Moderate
C0010192	C0022957	Moderate
C0754011	C4078701	Moderate
C0011685	C0040374	Moderate
C0085173	C2698692	Moderate
C0073372	C0085149	Major
C0072980	C1142985	Moderate
C0006246	C0039943	Moderate
C0022322	C4045494	Moderate
C0052432	C4045494	Moderate
C0026549	C0886584	Moderate
C0013092	C0025746	Major
C0022245	C0971579	Moderate
C0023413	C2725260	Moderate
C0028066	C0036079	Moderate
C0008269	C1145759	Moderate
C0032950	C0074393	Unknown
C0012702	C0085149	Major
C0055147	C0132326	Unknown
C0013085	C0247194	Major
C0012582	C0060389	Unknown
C0008269	C0649350	Moderate
C0031935	C0032825	Major
C0021734	C4519740	Moderate
C2744440	C4049141	Moderate
C0028978	C0062092	Moderate
C0028741	C0078847	Unknown
C0030049	C0079083	Unknown
C0029309	C0054672	Moderate
C0068333	C0074710	Moderate
C0000970	C3192263	Moderate
C0030350	C0055729	Major
C0076829	C0082607	Unknown
C0073983	C0541315	Major
C0085542	C0965129	Moderate
C0057258	C0962603	Moderate
C0012373	C2930696	Moderate
C0002555	C1176315	Moderate
C0032950	C0074722	Minor
C0013092	C4555905	Moderate
C0008163	C0246415	Moderate
C2987430	C4277781	Major
C0083381	C3264621	Moderate
C0020336	C0754188	Moderate
C0245561	C2980094	Moderate
C0008947	C0065374	Unknown
C0002679	C0136123	Unknown
C0010547	C0030073	Moderate
C0055573	C0872913	Moderate
C1433439	C3652638	Moderate
C0073983	C0206460	Moderate
C0041009	C0055877	Moderate
C2713632	C2930789	Moderate
C0013030	C0123677	Moderate
C1705480	C3192263	Major
C0014912	C0026256	Moderate
C0022245	C0024778	Moderate
C0019134	C3661282	Moderate
C0008286	C0016384	Moderate
C0025872	C0209227	Unknown
C0027996	C0028978	Unknown
C0068771	C4079208	Moderate
C1721377	C2003424	Moderate
C0052416	C1176020	Major
C0013089	C1707080	Moderate
C2350866	C3899947	Moderate
C1269691	C4726677	Moderate
C0020740	C1130428	Moderate
C0016377	C0051919	Moderate
C0008269	C0286651	Moderate
C0074493	C0872913	Moderate
C0034665	C0171023	Unknown
C0046948	C3853839	Moderate
C0060657	C0724614	Moderate
C0022499	C3536876	Moderate
C0246415	C4519199	Moderate
C0074414	C0074722	Unknown
C0008845	C0077163	Moderate
C0211011	C1174893	Moderate
C0012228	C3501358	Major
C0020223	C1122087	Moderate
C0010927	C3541342	Moderate
C0020197	C0073983	Minor
C0009079	C0019453	Major
C0082607	C4726770	Moderate
C0030812	C3491971	Moderate
C0073992	C1176315	Major
C0529572	C0965390	Moderate
C0021246	C0055856	Unknown
C1567130	C2353893	Major
C0663733	C2746078	Moderate
C0699817	C0717758	Moderate
C0079466	C3886623	Major
C0014563	C0070122	Unknown
C0008845	C0036079	Moderate
C0028066	C4287815	Moderate
C0040805	C1872203	Major
C0025853	C0076829	Moderate
C0005640	C0025382	Major
C0008783	C0023992	Major
C0123677	C0292818	Moderate
C0772089	C0909381	Moderate
C0028420	C0935989	Moderate
C0040989	C0360172	Moderate
C0023566	C2001856	Major
C0022026	C0536495	Major
C0006463	C0019134	Unknown
C0076110	C0288165	Moderate
C0011777	C0022322	Unknown
C0014963	C0079594	Moderate
C0674428	C3853822	Moderate
C0017642	C0052585	Major
C0029193	C0051809	Major
C0259507	C2930789	Moderate
C0030899	C0071097	Unknown
C0012010	C1721377	Moderate
C0031412	C1122962	Moderate
C0005098	C0041098	Moderate
C0016374	C0066535	Minor
C0020740	C0136123	Moderate
C1121849	C4042960	Moderate
C0055617	C2353951	Moderate
C0054672	C4519199	Moderate
C0008845	C0069717	Major
C0042071	C0055573	Moderate
C0004482	C0289313	Unknown
C0025611	C3272698	Moderate
C0031392	C0537270	Moderate
C0012265	C0023660	Unknown
C0008273	C0024476	Moderate
C1611934	C1721377	Moderate
C0011777	C0014479	Minor
C4278675	C4519740	Major
C0013089	C5828321	Moderate
C0009074	C0040165	Unknown
C2343589	C3489764	Moderate
C0016410	C0016904	Unknown
C0024056	C0054340	Moderate
C0057258	C3886623	Major
C0015011	C1456408	Moderate
C0032143	C0066685	Moderate
C0020934	C3661315	Moderate
C0022939	C0085379	Moderate
C0009011	C0026187	Unknown
C0039736	C0913246	Unknown
C0002658	C0031495	Moderate
C0378466	C1718383	Major
C0009011	C0039865	Moderate
C0023660	C0073372	Minor
C0034665	C0114771	Unknown
C0907349	C2935436	Moderate
C0120107	C4330903	Moderate
C1257385	C2930789	Moderate
C0014563	C0116569	Moderate
C0007257	C0965618	Moderate
C0007299	C3489483	Moderate
C0649350	C0772089	Moderate
C0143993	C3179547	Moderate
C0025677	C2698692	Moderate
C0674428	C2713008	Major
C0022625	C0600489	Moderate
C0092777	C0765273	Moderate
C0025859	C0087163	Unknown
C0076080	C3255208	Moderate
C0042313	C0043031	Unknown
C0008992	C0009011	Unknown
C0391001	C1367202	Moderate
C0000970	C0063817	Unknown
C1611934	C2828290	Moderate
C0014563	C4278675	Moderate
C0060933	C0766108	Moderate
C0002679	C0033399	Moderate
C0030883	C2714632	Moderate
C1269691	C1367202	Moderate
C0292818	C3661315	Moderate
C0040263	C3852938	Moderate
C1176329	C1718383	Major
C0025815	C0027679	Moderate
C0025741	C0079083	Unknown
C0301374	C0529351	Moderate
C0016410	C0087163	Unknown
C0074769	C0126174	Moderate
C0765273	C1667052	Moderate
C0006938	C0079083	Unknown
C0005320	C0032952	Moderate
C0058218	C1608841	Moderate
C0032950	C0765273	Moderate
C0028978	C1142985	Unknown
C0022267	C0026196	Moderate
C0016343	C0671970	Moderate
C0038633	C0771311	Moderate
C0008783	C0649350	Moderate
C0024477	C0041014	Moderate
C0025598	C0040341	Unknown
C0021734	C4726929	Major
C2974540	C4519740	Moderate
C0070166	C0085149	Unknown
C0393080	C2934193	Moderate
C0013092	C0031412	Moderate
C0657912	C0718050	Unknown
C0010980	C0064113	Moderate
C0029309	C0071097	Unknown
C0252643	C1831731	Major
C2974289	C3486388	Moderate
C0039601	C0254119	Moderate
C0012125	C0040610	Moderate
C0246415	C1882138	Moderate
C0001655	C0036516	Moderate
C0031392	C0052762	Moderate
C0006405	C4086264	Moderate
C0001962	C0040377	Moderate
C0004259	C0031469	Moderate
C0012201	C0022245	Moderate
C0002644	C4278675	Moderate
C0008296	C0055147	Moderate
C0036442	C2001271	Moderate
C0016277	C0537147	Unknown
C0058056	C0077163	Moderate
C0013085	C0014921	Minor
C0039943	C0220578	Major
C0007299	C0022028	Moderate
C0296800	C0379199	Unknown
C0012702	C2713632	Moderate
C0006405	C0027360	Major
C0015133	C0393080	Moderate
C0032483	C0074393	Moderate
C0016860	C1516119	Unknown
C0014025	C0060657	Unknown
C0017628	C0649350	Unknown
C0717752	C2001856	Major
C1619629	C4482908	Moderate
C0056732	C0123931	Unknown
C0038418	C2975435	Major
C0012373	C1699926	Major
C0012522	C0023570	Moderate
C0033621	C1739768	Moderate
C0028365	C2350866	Moderate
C0025376	C0074554	Unknown
C0002600	C3657824	Major
C0010583	C0536495	Minor
C0020789	C0246154	Moderate
C0029997	C0038633	Unknown
C0031184	C1567130	Moderate
C0006463	C0032952	Unknown
C0025810	C0041014	Unknown
C0085228	C1122962	Moderate
C0935989	C4330903	Moderate
C0030899	C0039468	Unknown
C0015133	C0042839	Unknown
C0023413	C0085542	Unknown
C0795635	C4519740	Moderate
C3541342	C3852841	Moderate
C0009279	C0043031	Minor
C0016967	C0052759	Moderate
C1608841	C2718773	Moderate
C0169964	C3885614	Moderate
C0006462	C0025746	Major
C0013092	C0054234	Moderate
C0010620	C0033743	Moderate
C0040864	C0074493	Unknown
C0025854	C3179549	Moderate
C0002026	C0072980	Moderate
C0008287	C0120107	Moderate
C0026933	C0717758	Major
C0002575	C0005038	Moderate
C0001962	C0071097	Moderate
C0008163	C0025033	Moderate
C0065879	C2353951	Moderate
C0013090	C0051150	Unknown
C1453642	C3896940	Moderate
C1876229	C4547776	Moderate
C0012125	C0025598	Unknown
C0025241	C0026259	Moderate
C0040899	C3885068	Moderate
C0002600	C0027235	Moderate
C0073393	C1722260	Moderate
C0023660	C0051696	Unknown
C1269691	C3490348	Moderate
C0008806	C0010934	Minor
C0009014	C0537147	Unknown
C0028017	C0244821	Moderate
C0050940	C0073992	Unknown
C0057981	C0530684	Moderate
C1739768	C5235396	Moderate
C0245514	C0935989	Moderate
C0002475	C0030049	Unknown
C0144576	C0246421	Unknown
C0057258	C0073631	Moderate
C0076840	C3491971	Moderate
C0028066	C4524315	Moderate
C0025153	C0039245	Moderate
C0031507	C2974289	Major
C0164613	C3886460	Moderate
C2746078	C4049141	Moderate
C0040165	C0040374	Moderate
C0092801	C0245109	Major
C0008783	C0541315	Moderate
C0016860	C0063041	Unknown
C0005320	C0026549	Moderate
C0209368	C0378482	Moderate
C0012091	C0052940	Moderate
C0025677	C0142825	Minor
C0085208	C4277781	Major
C0022625	C2980074	Major
C0029193	C0282386	Moderate
C0016945	C0771311	Unknown
C0018242	C3700399	Moderate
C0907410	C0965390	Moderate
C0028351	C0537551	Moderate
C0014710	C2974289	Moderate
C0010583	C0066677	Minor
C0041942	C0771269	Moderate
C0003596	C0068771	Moderate
C0762662	C1121991	Moderate
C0012265	C0289313	Unknown
C0035179	C0057258	Moderate
C0024977	C3885068	Moderate
C0085170	C4317559	Moderate
C0014582	C1527027	Moderate
C0379199	C0796392	Moderate
C0027780	C0028978	Moderate
