from_cui	to_cui	level
C1831796	C3896936	Moderate
C0012265	C0070203	Moderate
C0537147	C1142985	Unknown
C0677829	C1311070	Moderate
C0016368	C2934193	Moderate
C0007343	C0530684	Moderate
C1455035	C3486388	Moderate
C0015620	C0042670	Unknown
C0146224	C4519167	Moderate
C0014582	C5392453	Moderate
C0016365	C0074769	Moderate
C0016410	C0079083	Unknown
C0000608	C0016365	Unknown
C0009010	C0011015	Moderate
C0146011	C4682397	Major
C0016280	C0075262	Moderate
C0010934	C1882138	Moderate
C0020264	C0040805	Moderate
C0022625	C2986924	Moderate
C0036079	C2828294	Moderate
C0057626	C0209210	Moderate
C0025677	C0038633	Unknown
C0063041	C0244404	Unknown
C0007546	C0085259	Unknown
C0013090	C0038633	Moderate
C0002502	C0020268	Moderate
C0016410	C0085174	Unknown
C0008809	C0010711	Minor
C0007299	C2974289	Moderate
C2934193	C3896936	Moderate
C0028420	C0754011	Moderate
C0021734	C0022209	Moderate
C0006674	C0070166	Unknown
C0055729	C2698692	Major
C1872203	C3491971	Moderate
C0026156	C0031184	Moderate
C0025598	C0914729	Unknown
C0025497	C0027235	Minor
C0060389	C0525005	Moderate
C0012010	C0042313	Unknown
C0070166	C1135135	Unknown
C0048044	C0077163	Moderate
C0085149	C0114771	Major
C0012522	C2698291	Moderate
C1831808	C3489764	Moderate
C0002711	C0008286	Moderate
C0530684	C4278675	Major
C0032535	C0063817	Major
C0026187	C0149381	Moderate
C0072980	C0287041	Moderate
C0965390	C1699926	Major
C0022642	C0025859	Unknown
C0083381	C0282386	Moderate
C0009010	C0020823	Moderate
C0020740	C0072857	Moderate
C0001927	C0074710	Unknown
C0012086	C0063828	Moderate
C0074554	C4519428	Moderate
C0213771	C3661274	Moderate
C0065517	C0073999	Moderate
C0030812	C0039663	Moderate
C0754011	C1527027	Moderate
C0033743	C3818721	Major
C0060389	C0257685	Unknown
C2001856	C2826078	Major
C0245514	C5139749	Moderate
C0059865	C0063041	Major
C0004599	C0038425	Major
C0029193	C0050393	Moderate
C0006050	C0008281	Moderate
C0936148	C3896940	Major
C0017642	C0073631	Moderate
C0020273	C0032950	Moderate
C0022957	C0249458	Unknown
C0005740	C0383429	Moderate
C0015827	C2607479	Moderate
C0071129	C1516119	Moderate
C0016365	C1145760	Moderate
C0039865	C0143993	Moderate
C0061851	C0063252	Unknown
C0069751	C3818721	Moderate
C0010583	C0033405	Unknown
C0054836	C0059985	Unknown
C0008929	C0031849	Moderate
C0022005	C0066101	Major
C0017861	C3192263	Moderate
C0070895	C2348248	Moderate
C0013090	C0023660	Unknown
C0013090	C0014704	Moderate
C0061323	C0209210	Unknown
C0218986	C0286079	Major
C0078569	C0246421	Unknown
C0030817	C0149368	Moderate
C0031935	C0054668	Moderate
C0007716	C0019134	Unknown
C0728747	C4291328	Moderate
C0002475	C0006837	Moderate
C0021246	C0033567	Moderate
C0092801	C1134659	Major
C0074493	C2933912	Moderate
C0013547	C0257685	Unknown
C0072916	C0073992	Moderate
C0025872	C1664205	Minor
C0075262	C0246415	Major
C0043031	C0073372	Moderate
C0014563	C0040374	Moderate
C0012091	C0025854	Moderate
C0004057	C0244656	Minor
C0022957	C0073631	Unknown
C0011892	C0039663	Moderate
C0017245	C0123931	Major
C0872913	C0961209	Moderate
C0013092	C0027235	Moderate
C0002333	C0004259	Unknown
C0016365	C0218986	Moderate
C0376637	C1611934	Moderate
C0063757	C2717021	Major
C0246421	C0935989	Unknown
C0033567	C4743552	Major
C0039542	C1169997	Moderate
C0070166	C3852684	Moderate
C0022181	C0039736	Moderate
C3886623	C3896940	Moderate
C0065864	C3179547	Moderate
C0013089	C0022625	Moderate
C0025153	C0285590	Moderate
C0011777	C0016368	Moderate
C0074722	C0771311	Unknown
C0031448	C0971579	Moderate
C0017642	C0069739	Moderate
C0026256	C2980074	Major
C0022635	C0298130	Unknown
C1527027	C3818721	Major
C0015020	C0015772	Moderate
C0071304	C0965129	Unknown
C0012522	C0049506	Moderate
C3853822	C4519273	Moderate
C0765273	C1176315	Moderate
C0005640	C0671970	Major
C0006938	C0024477	Minor
C0010592	C0045093	Unknown
C0378466	C2001856	Moderate
C0020934	C0025677	Unknown
C0143083	C3253985	Minor
C0126174	C0249582	Unknown
C0042679	C0909381	Moderate
C0754011	C1722267	Moderate
C0017066	C0030863	Moderate
C0068897	C1176306	Moderate
C0016229	C0965129	Unknown
C0008269	C0393080	Major
C0077163	C2001271	Moderate
C0066685	C0937950	Minor
C0002600	C0030095	Moderate
C0001047	C0012265	Unknown
C0005096	C0024476	Moderate
C0020336	C0072857	Moderate
C0002333	C0032952	Minor
C0017642	C2353951	Moderate
C0004147	C0071097	Unknown
C0051696	C3467876	Moderate
C0015043	C2718773	Moderate
C0023586	C0052657	Moderate
C0051696	C1122087	Moderate
C0301374	C0360174	Moderate
C0663733	C0872913	Major
C0009079	C2346801	Major
C0011015	C5828321	Moderate
C0164613	C0772051	Major
C0028356	C2718773	Moderate
C0024977	C0033743	Moderate
C0008287	C0033399	Moderate
C2718773	C4055109	Moderate
C0011786	C2973895	Moderate
C0008269	C0052657	Moderate
C0060277	C0149381	Minor
C0020402	C0025872	Unknown
C0002600	C0015011	Minor
C0012091	C0012306	Unknown
C0061863	C0065374	Unknown
C0025677	C0252643	Moderate
C0007560	C0771269	Moderate
C0013090	C0020402	Unknown
C0011479	C0079594	Moderate
C0057258	C0216784	Moderate
C0123091	C4524315	Moderate
C0029994	C0935989	Moderate
C0528023	C2353893	Moderate
C1872109	C4519229	Moderate
C0289313	C0529351	Unknown
C0165921	C0296800	Unknown
C0070122	C0537270	Moderate
C1144149	C4726929	Major
C0537551	C4746084	Moderate
C0000946	C0060657	Moderate
C2973446	C3272344	Moderate
C0244821	C2316164	Moderate
C0055856	C0076275	Unknown
C0016860	C1958126	Moderate
C0002563	C0753645	Major
C0031412	C0061863	Minor
C0040879	C4058811	Moderate
C0004482	C4044947	Major
C0024730	C3854019	Major
C0033223	C0057605	Moderate
C0025815	C2986922	Moderate
C0017642	C0526371	Moderate
C0030350	C4277781	Major
C0041038	C1174893	Moderate
C0008809	C4524315	Moderate
C0014963	C0030092	Minor
C0527316	C1998098	Minor
C0006711	C0030092	Moderate
C0004057	C0015846	Unknown
C0012091	C0075632	Unknown
C0663241	C3491971	Moderate
C0004475	C0772051	Major
C0002679	C2348248	Moderate
C0043832	C4078312	Major
C0085228	C4330903	Moderate
C0041090	C1436328	Moderate
C0001655	C0293359	Moderate
C0014964	C0015620	Unknown
C1533126	C2975435	Moderate
C1958126	C4055478	Moderate
C0058218	C0879399	Moderate
C0033126	C0285590	Moderate
C1311070	C1738934	Major
C0039771	C0068475	Major
C0039771	C0060657	Moderate
C0209210	C0257343	Unknown
C0025677	C0040899	Moderate
C0919292	C3272344	Moderate
C0009079	C0032483	Moderate
C0025872	C4329353	Minor
C4045494	C4519273	Major
C0285590	C1998098	Major
C0210657	C0770578	Moderate
C0008929	C0057605	Moderate
C0041942	C0078569	Moderate
C0249458	C0965129	Unknown
C0026933	C3855916	Moderate
C0008287	C0013085	Moderate
C0383429	C2987417	Moderate
C0008183	C0012522	Moderate
C0075262	C4079208	Major
C0008280	C0030873	Major
C0033216	C0291772	Minor
C0962603	C5828321	Moderate
C0913246	C3886623	Moderate
C3496793	C4080053	Major
C0024002	C0077163	Moderate
C0014963	C2934193	Moderate
C0020268	C0066621	Moderate
C0011015	C0771269	Moderate
C0005640	C0060179	Major
C0057558	C3467876	Major
C0013090	C0031955	Moderate
C0001047	C0074710	Unknown
C3853822	C3898565	Moderate
C4278675	C4508938	Major
C0032483	C0136123	Moderate
C0022939	C0076080	Moderate
C0010583	C0671970	Unknown
C0023660	C0292818	Moderate
C0042313	C0049506	Unknown
C3661315	C4329353	Moderate
C0073633	C0600489	Moderate
C0085174	C0298130	Unknown
C0016277	C4519220	Moderate
C0054234	C2931926	Moderate
C0040778	C1722260	Moderate
C0766326	C4045494	Major
C0813171	C3661315	Moderate
C0092777	C0677829	Moderate
C0014942	C2973895	Moderate
C0006462	C0209210	Major
